Registration Number,Specialization,Branch,Last Semester,Attendance (%),CGPA,Semester GPA (Target),Backlogs,Midterm Scores (out of 50),"Grades (S, A, B, C, D, E, F, N)",Study Hours/Day,Club Membership,Club Hours/Week,Leadership Role,Sleep Hours/Day,Stress Level,Predicted Semester GPA
23BCE10001,CSE Core,B.Tech,4,90,7.91,8.56,1,"20, 31, 12, 11, 36","['C', 'B', 'A', 'D', 'S', 'S', 'B', 'S', 'B', 'B', 'S', 'F', 'C', 'B', 'A', 'B', 'E', 'A']",3.8,No,0,No,8.3,3,6.81
23BCE10002,CSE Core,B.Tech,4,68,6.85,7.66,1,"22, 33, 5, 3, 35","['N', 'B', 'A', 'B', 'S', 'A', 'B', 'F', 'A', 'B', 'B', 'C', 'N', 'C', 'B', 'A', 'S', 'S']",4.1,Yes,5.9,No,8.7,3,5.92
23BCE10003,CSE Core,B.Tech,4,83,7.94,8.27,1,"10, 20, 32, 35, 24","['A', 'S', 'A', 'F', 'A', 'C', 'A', 'B', 'B', 'S', 'S', 'C', 'S', 'D', 'E', 'S', 'S', 'C']",5.2,Yes,6.3,Yes,6.5,3,7.12
23BCE10004,CSE Core,B.Tech,4,69,7.87,8.54,0,"19, 44, 11, 24, 12","['N', 'C', 'A', 'A', 'A', 'S', 'A', 'A', 'S', 'S', 'N', 'S', 'A', 'C', 'A', 'A', 'B', 'A']",4.7,Yes,3.1,Yes,6.5,3,7.33
23BCE10005,CSE Core,B.Tech,4,65,8.2,8.88,1,"35, 50, 41, 5, 19","['S', 'A', 'A', 'B', 'B', 'E', 'S', 'A', 'A', 'S', 'S', 'A', 'S', 'F', 'N', 'B', 'S', 'A']",5.6,Yes,4.4,Yes,7.2,5,7.09
23BCE10006,CSE Core,B.Tech,4,73,8.5,8.83,1,"11, 49, 42, 38, 21","['A', 'S', 'A', 'S', 'C', 'A', 'S', 'S', 'F', 'S', 'A', 'S', 'A', 'D', 'S', 'C', 'A', 'N']",5.4,Yes,3.9,No,8.7,4,7.65
23BCE10007,CSE Core,B.Tech,4,89,7.2,7.76,1,"36, 4, 47, 29, 21","['A', 'D', 'A', 'C', 'E', 'B', 'B', 'A', 'C', 'F', 'S', 'E', 'B', 'S', 'A', 'B', 'S', 'B']",4.5,No,0,No,8.3,5,6.71
23BCE10008,CSE Core,B.Tech,4,67,6.31,7.14,1,"35, 28, 49, 36, 30","['N', 'S', 'B', 'A', 'F', 'S', 'S', 'C', 'N', 'C', 'N', 'S', 'A', 'S', 'B', 'B', 'E', 'B']",4,No,0,No,8.2,4,6.68
23BCE10009,CSE Core,B.Tech,4,79,7.56,8.5,1,"18, 24, 30, 16, 8","['D', 'C', 'A', 'B', 'A', 'S', 'F', 'S', 'B', 'A', 'D', 'C', 'B', 'B', 'A', 'B', 'C', 'A']",3.6,No,0,No,7.8,4,6.12
23BCE10010,CSE Core,B.Tech,4,68,7.74,7.97,1,"13, 48, 22, 38, 18","['A', 'S', 'S', 'E', 'B', 'S', 'B', 'B', 'C', 'B', 'N', 'A', 'S', 'C', 'S', 'E', 'F', 'S']",3.9,Yes,2.1,No,8.7,5,6.51
23BCE10011,CSE Core,B.Tech,4,67,8.09,8.32,0,"8, 10, 47, 38, 50","['C', 'S', 'N', 'S', 'S', 'A', 'S', 'D', 'S', 'B', 'A', 'B', 'S', 'A', 'A', 'N', 'S', 'A']",4.1,No,0,No,8.3,3,7.9
23BCE10012,CSE Core,B.Tech,4,77,8.3,9.21,0,"6, 50, 36, 22, 26","['D', 'C', 'A', 'S', 'D', 'A', 'S', 'A', 'A', 'A', 'A', 'B', 'E', 'S', 'S', 'D', 'E', 'A']",4.4,Yes,7,Yes,7.2,5,7.69
23BCE10013,CSE Core,B.Tech,4,67,7.43,7.53,0,"47, 5, 30, 32, 31","['S', 'S', 'N', 'B', 'B', 'S', 'E', 'N', 'S', 'A', 'A', 'A', 'A', 'S', 'E', 'S', 'A', 'S']",3.1,No,0,No,7.1,3,7.31
23BCE10014,CSE Core,B.Tech,4,66,7.43,8.04,1,"23, 44, 29, 27, 5","['F', 'C', 'B', 'A', 'E', 'C', 'S', 'S', 'B', 'A', 'D', 'A', 'B', 'S', 'S', 'B', 'N', 'C']",5.9,No,0,No,7.8,3,6.85
23BCE10015,CSE Core,B.Tech,4,87,8.2,9.18,1,"3, 25, 45, 7, 33","['B', 'A', 'A', 'S', 'S', 'B', 'A', 'B', 'B', 'E', 'B', 'B', 'F', 'S', 'S', 'A', 'S', 'C']",3.9,No,0,No,7.4,5,6.62
23BCE10016,CSE Core,B.Tech,4,87,7.43,8.05,1,"27, 37, 45, 3, 17","['A', 'A', 'B', 'D', 'B', 'C', 'A', 'B', 'D', 'F', 'S', 'A', 'A', 'B', 'D', 'A', 'A', 'S']",5.1,Yes,7.2,No,8.7,4,6.94
23BCE10017,CSE Core,B.Tech,4,74,6.76,7.31,2,"41, 26, 36, 49, 20","['E', 'S', 'A', 'N', 'D', 'S', 'A', 'B', 'B', 'F', 'S', 'B', 'F', 'C', 'A', 'A', 'S', 'A']",3.6,No,0,No,8.6,3,6.25
23BCE10018,CSE Core,B.Tech,4,90,8.69,9.62,0,"27, 38, 3, 11, 43","['S', 'S', 'B', 'S', 'C', 'B', 'S', 'S', 'A', 'A', 'C', 'C', 'S', 'D', 'C', 'S', 'C', 'S']",5.3,No,0,No,8.4,4,8.12
23BCE10019,CSE Core,B.Tech,4,72,6.2,6.42,1,"33, 24, 40, 48, 43","['A', 'S', 'A', 'S', 'N', 'A', 'N', 'C', 'E', 'A', 'B', 'B', 'F', 'N', 'N', 'E', 'S', 'A']",4.6,No,0,No,7.5,5,6.79
23BCE10020,CSE Core,B.Tech,4,95,8.52,8.87,1,"4, 43, 47, 22, 25","['B', 'C', 'B', 'S', 'B', 'S', 'S', 'A', 'S', 'A', 'S', 'B', 'F', 'A', 'A', 'D', 'B', 'S']",3.9,Yes,2.1,No,8.4,5,7.28
23BCE10021,CSE Core,B.Tech,4,73,6.74,7.91,1,"14, 12, 34, 7, 46","['B', 'S', 'B', 'B', 'A', 'E', 'N', 'A', 'B', 'F', 'D', 'S', 'N', 'A', 'S', 'S', 'B', 'A']",3.7,No,0,No,8.1,4,5.96
23BCE10022,CSE Core,B.Tech,4,94,7.7,8.59,2,"31, 35, 25, 38, 15","['F', 'A', 'F', 'S', 'S', 'A', 'S', 'A', 'B', 'A', 'C', 'B', 'S', 'A', 'S', 'B', 'A', 'S']",5.5,Yes,4.7,Yes,7.4,3,6.87
23BCE10023,CSE Core,B.Tech,4,79,8.09,9.05,0,"4, 13, 30, 27, 38","['B', 'S', 'C', 'B', 'A', 'C', 'A', 'E', 'C', 'S', 'A', 'E', 'S', 'S', 'S', 'B', 'C', 'A']",5.3,Yes,6,No,6.7,5,7.38
23BCE10024,CSE Core,B.Tech,4,74,6.63,6.84,3,"20, 41, 11, 4, 38","['S', 'A', 'C', 'B', 'F', 'F', 'A', 'A', 'S', 'N', 'S', 'A', 'B', 'F', 'A', 'A', 'S', 'S']",4.1,No,0,No,7.9,3,4.76
23BCE10025,CSE Core,B.Tech,4,77,7.94,8.24,1,"48, 19, 35, 37, 35","['D', 'D', 'B', 'S', 'S', 'A', 'B', 'S', 'S', 'F', 'B', 'S', 'C', 'B', 'S', 'A', 'B', 'A']",3.3,No,0,No,8,4,7.29
23BCE10026,CSE Core,B.Tech,4,73,7.52,8.22,2,"34, 22, 32, 24, 27","['B', 'D', 'S', 'F', 'A', 'A', 'A', 'A', 'S', 'S', 'A', 'B', 'B', 'N', 'F', 'S', 'A', 'D']",3.8,Yes,2.4,No,8.6,3,6.1
23BCE10027,CSE Core,B.Tech,4,72,6.07,6.35,2,"47, 48, 46, 13, 36","['N', 'S', 'B', 'B', 'B', 'F', 'F', 'B', 'D', 'E', 'A', 'C', 'B', 'A', 'A', 'A', 'C', 'A']",4.3,Yes,8,Yes,6.8,5,6.02
23BCE10028,CSE Core,B.Tech,4,71,7.09,7.59,0,"30, 37, 6, 11, 45","['C', 'C', 'S', 'B', 'C', 'C', 'S', 'A', 'N', 'N', 'A', 'S', 'E', 'A', 'S', 'A', 'A', 'C']",5.4,Yes,6.2,No,6.9,3,7.43
23BCE10029,CSE Core,B.Tech,4,68,6.89,7.41,2,"24, 27, 23, 27, 43","['B', 'S', 'A', 'B', 'S', 'N', 'F', 'S', 'B', 'C', 'C', 'C', 'C', 'F', 'A', 'A', 'A', 'A']",5.4,Yes,4.1,Yes,8.9,3,6.12
23BCE10030,CSE Core,B.Tech,4,84,8.31,8.83,0,"19, 17, 43, 9, 34","['C', 'B', 'A', 'D', 'A', 'S', 'A', 'C', 'S', 'A', 'B', 'B', 'S', 'E', 'A', 'B', 'A', 'A']",6,No,0,No,8.9,5,7.79
23BCE10031,CSE Core,B.Tech,4,73,7.61,8.53,0,"10, 5, 35, 38, 19","['C', 'B', 'N', 'B', 'S', 'E', 'S', 'D', 'C', 'A', 'A', 'S', 'S', 'S', 'A', 'B', 'B', 'B']",3.9,No,0,No,8.5,3,7.1
23BCE10032,CSE Core,B.Tech,4,65,6.94,7.84,2,"3, 38, 42, 19, 46","['D', 'S', 'F', 'F', 'B', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'B', 'N', 'B', 'A', 'B', 'B']",5.6,No,0,No,7.6,5,5.86
23BCE10033,CSE Core,B.Tech,4,81,8.37,8.73,1,"50, 39, 27, 27, 15","['S', 'S', 'D', 'A', 'S', 'A', 'C', 'A', 'S', 'D', 'A', 'A', 'D', 'A', 'B', 'B', 'F', 'A']",5.1,No,0,No,6.9,5,7.46
23BCE10034,CSE Core,B.Tech,4,69,7.85,8.11,1,"15, 14, 34, 37, 30","['B', 'S', 'S', 'S', 'A', 'B', 'S', 'E', 'B', 'B', 'A', 'N', 'F', 'A', 'B', 'A', 'S', 'B']",5.5,Yes,3.4,No,8.6,4,6.89
23BCE10035,CSE Core,B.Tech,4,86,7.91,8.43,1,"46, 22, 30, 33, 26","['A', 'A', 'S', 'B', 'S', 'C', 'B', 'F', 'A', 'A', 'D', 'S', 'S', 'E', 'C', 'A', 'S', 'D']",4.5,No,0,No,7.5,4,7.42
23BCE10036,CSE Core,B.Tech,4,66,8.11,9.06,0,"13, 44, 18, 40, 19","['A', 'A', 'B', 'A', 'B', 'B', 'E', 'S', 'S', 'D', 'S', 'A', 'A', 'C', 'C', 'C', 'N', 'S']",3.6,Yes,4.6,No,9,4,7.37
23BCE10037,CSE Core,B.Tech,4,95,8.39,9,1,"47, 46, 7, 22, 50","['A', 'S', 'A', 'S', 'C', 'A', 'S', 'S', 'F', 'A', 'A', 'C', 'S', 'A', 'B', 'S', 'A', 'S']",3.5,No,0,No,8.1,4,7.78
23BCE10038,CSE Core,B.Tech,4,72,8.11,9.05,0,"37, 50, 45, 16, 28","['S', 'A', 'A', 'A', 'D', 'D', 'A', 'A', 'A', 'A', 'B', 'C', 'A', 'S', 'N', 'C', 'B', 'E']",4.9,Yes,7.6,No,8.7,4,8.31
23BCE10039,CSE Core,B.Tech,4,68,8.07,8.62,0,"47, 45, 48, 44, 26","['S', 'C', 'A', 'S', 'B', 'A', 'N', 'S', 'B', 'A', 'E', 'A', 'A', 'A', 'A', 'S', 'S', 'B']",4,Yes,4.5,Yes,7.3,3,8.71
23BCE10040,CSE Core,B.Tech,4,71,7.11,7.96,2,"33, 20, 41, 24, 23","['S', 'B', 'S', 'S', 'B', 'N', 'F', 'A', 'A', 'B', 'A', 'C', 'A', 'F', 'S', 'N', 'S', 'A']",6,No,0,No,7.2,3,6.3
23BCE10041,CSE Core,B.Tech,4,70,7.17,7.73,2,"36, 27, 42, 49, 32","['S', 'B', 'S', 'N', 'B', 'F', 'A', 'A', 'B', 'S', 'B', 'C', 'B', 'A', 'E', 'F', 'S', 'B']",4.6,No,0,No,8.5,4,6.6
23BCE10042,CSE Core,B.Tech,4,69,8.43,8.78,1,"8, 47, 27, 7, 31","['B', 'A', 'A', 'S', 'A', 'A', 'S', 'A', 'B', 'S', 'F', 'A', 'S', 'S', 'C', 'N', 'S', 'C']",4.5,Yes,6.6,Yes,6.6,5,6.64
23BCE10043,CSE Core,B.Tech,4,72,7.5,8.07,1,"24, 5, 49, 32, 26","['S', 'S', 'B', 'S', 'N', 'S', 'B', 'A', 'D', 'S', 'F', 'A', 'B', 'N', 'S', 'A', 'A', 'S']",5.9,Yes,7.4,No,7.1,4,6.94
23BCE10044,CSE Core,B.Tech,4,69,7.5,8.17,1,"43, 19, 47, 22, 28","['A', 'B', 'S', 'S', 'F', 'A', 'B', 'B', 'A', 'E', 'S', 'S', 'C', 'A', 'N', 'A', 'N', 'S']",5.8,Yes,7.8,No,7.6,3,7.35
23BCE10045,CSE Core,B.Tech,4,72,7.26,7.84,0,"7, 15, 41, 6, 47","['N', 'N', 'S', 'A', 'B', 'B', 'C', 'S', 'A', 'C', 'A', 'S', 'C', 'B', 'A', 'C', 'B', 'B']",5.4,No,0,No,8.3,4,7.19
23BCE10046,CSE Core,B.Tech,4,81,7.74,7.95,1,"19, 42, 37, 33, 18","['C', 'C', 'C', 'A', 'E', 'A', 'A', 'A', 'S', 'B', 'A', 'F', 'B', 'S', 'A', 'B', 'A', 'B']",3.2,Yes,5.5,Yes,8.7,3,7.04
23BCE10047,CSE Core,B.Tech,4,83,7.65,8.04,1,"36, 34, 35, 10, 32","['A', 'A', 'A', 'E', 'E', 'S', 'D', 'A', 'S', 'E', 'B', 'A', 'S', 'F', 'A', 'B', 'B', 'E']",3.4,Yes,6.5,Yes,8.8,3,7.05
23BCE10048,CSE Core,B.Tech,4,67,7.54,7.93,1,"5, 19, 26, 18, 22","['A', 'A', 'S', 'B', 'B', 'E', 'S', 'A', 'S', 'B', 'N', 'C', 'N', 'C', 'A', 'F', 'S', 'S']",5.2,No,0,No,8.4,5,5.94
23BCE10049,CSE Core,B.Tech,4,69,6.31,6.52,2,"12, 26, 49, 9, 50","['B', 'B', 'A', 'F', 'B', 'S', 'N', 'N', 'A', 'A', 'A', 'S', 'S', 'N', 'F', 'S', 'S', 'S']",4.6,No,0,No,7.6,4,5.66
