Registration Number,Predicted GPA By Model,Subjects,Required Grades,Required Term-End Marks
23BCE10001,6.8011207871315325,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'A', 'A', 'S']","[81.67, 59.67, 97.67, 99.67, 96.33]"
23BCE10002,5.91817428648724,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'B', 'B', 'A']","[81.33, 59.33, 88.67, 92.67, 55.33]"
23BCE10003,7.1078511404110625,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'A', 'A', 'S', 'A']","[76.17, 82.83, 58.83, 99.5, 74.83]"
23BCE10004,7.308882657278423,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'B', 'A', 'B']","[87.17, 83.83, 76.5, 77.17, 74.5]"
23BCE10005,7.112309579992267,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'S', 'B', 'A']","[55.83, 72.5, 90.5, 89.17, 87.83]"
23BCE10006,7.63638670053234,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'S', 'S', 'S', 'A']","[75.83, 73.17, 87.17, 95.17, 82.5]"
23BCE10007,6.710061296283425,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['S', 'B', 'S', 'A', 'A']","[96.5, 87.17, 74.5, 63.83, 79.83]"
23BCE10008,6.6602669110854755,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'S', 'A', 'A']","[55.5, 69.5, 74.17, 53.5, 65.5]"
23BCE10009,6.105261945185843,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'A', 'A', 'A', 'B']","[87.5, 75.5, 63.5, 91.5, 80.83]"
23BCE10010,6.516750309703892,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['A', 'S', 'A', 'S', 'A']","[99.33, 76.0, 81.33, 96.0, 89.33]"
23BCE10011,7.883037534671713,"['CAO', 'MPMC', 'Java', 'DAA', 'Probability']","['B', 'B', 'S', 'S', 'S']","[82.83, 78.83, 78.17, 96.17, 72.17]"
